Date,Time,Home Team,Away Team,Home Score,Away Score
7월 14일 (일),19:00,수원FC,대구,2,2
7월 14일 (일),19:00,김천,전북,4,0
7월 20일 (토),19:00,전북,울산,2,0
7월 20일 (토),19:30,강원,제주,4,0
7월 21일 (일),19:00,서울,김천,1,0
7월 21일 (일),19:00,대전,포항,1,2
7월 21일 (일),19:00,대구,광주,0,1
7월 21일 (일),19:00,인천,수원FC,1,4
7월 26일 (금),19:30,제주,울산,1,0
7월 26일 (금),19:30,강원,전북,4,2
7월 27일 (토),19:00,광주,수원FC,1,0
7월 27일 (토),19:30,대구,대전,1,1
7월 27일 (토),19:30,인천,서울,0,1
7월 28일 (일),19:00,포항,김천,1,2
8월 9일 (금),19:30,전북,광주,0,1
8월 9일 (금),19:30,김천,강원,1,2
8월 10일 (토),19:00,울산,대구,1,0
8월 10일 (토),19:30,제주,인천,0,1
8월 10일 (토),19:30,수원FC,대전,1,2
8월 11일 (일),19:00,포항,서울,1,2
8월 16일 (금),19:30,서울,제주,1,0
8월 16일 (금),19:30,대구,김천,3,0
8월 17일 (토),19:00,전북,포항,2,1
8월 17일 (토),19:30,대전,인천,2,1
8월 18일 (일),19:00,울산,수원FC,1,2
8월 18일 (일),19:00,강원,광주,3,2
8월 24일 (토),19:00,포항,대구,1,2
8월 24일 (토),19:30,서울,강원,2,0
8월 24일 (토),19:30,인천,전북,0,1
8월 25일 (일),19:00,광주,울산,0,1
8월 25일 (일),19:00,수원FC,제주,5,0
8월 25일 (일),19:00,김천,대전,2,2
8월 31일 (토),19:00,울산,포항,5,4
8월 31일 (토),19:30,대구,인천,1,2
9월 1일 (일),18:00,제주,김천,1,0
9월 1일 (일),19:00,전북,서울,0,0
9월 1일 (일),19:00,대전,광주,2,0
9월 1일 (일),19:00,강원,수원FC,2,2
9월 13일 (금),19:30,울산,강원,2,0
9월 13일 (금),19:30,광주,포항,2,1
9월 14일 (토),16:30,서울,대전,2,3
9월 14일 (토),19:00,제주,대구,0,4
9월 14일 (토),19:00,수원FC,전북,0,6
9월 15일 (일),16:30,김천,인천,2,0
9월 21일 (토),16:30,수원FC,김천,2,4
9월 21일 (토),19:00,대구,서울,1,1
9월 22일 (일),16:30,포항,강원,2,1
9월 22일 (일),16:30,광주,제주,0,2
9월 22일 (일),19:00,대전,전북,0,0
9월 22일 (일),19:00,인천,울산,0,0
9월 27일 (금),19:30,포항,인천,1,0
9월 27일 (금),19:30,대전,울산,0,1
9월 28일 (토),16:30,강원,대구,1,1
9월 28일 (토),19:00,전북,제주,2,1
9월 28일 (토),19:00,김천,광주,2,0
9월 29일 (일),16:30,서울,수원FC,1,0
10월 6일 (일),15:00,울산,김천,2,1
10월 6일 (일),15:00,포항,수원FC,1,1
10월 6일 (일),15:00,제주,대전,2,1
10월 6일 (일),15:00,대구,전북,4,3
10월 6일 (일),15:00,인천,강원,1,3
10월 6일 (일),15:00,광주,서울,3,1
10월 18일 (금),19:30,포항,수원FC,1,1
10월 18일 (금),19:30,광주,대구,1,1
10월 19일 (토),14:00,전북,대전,0,2
10월 19일 (토),16:30,인천,제주,1,2
10월 19일 (토),16:30,김천,울산,0,0
10월 20일 (일),15:00,강원,서울,1,0
10월 26일 (토),14:00,강원,김천,1,0
10월 26일 (토),16:30,수원FC,서울,0,1
10월 27일 (일),14:00,포항,울산,0,2
10월 27일 (일),14:00,대전,대구,1,0
10월 27일 (일),16:30,제주,전북,1,0
10월 27일 (일),16:30,인천,광주,1,0
11월 1일 (금),19:30,울산,강원,2,1
11월 2일 (토),14:00,전북,인천,0,0
11월 2일 (토),16:30,서울,포항,1,1
11월 2일 (토),16:30,광주,대전,0,0
11월 2일 (토),16:30,김천,수원FC,1,0
11월 3일 (일),14:00,대구,제주,2,2
11월 9일 (토),16:30,수원FC,강원,4,0
11월 10일 (일),14:00,포항,김천,0,3
11월 10일 (일),14:00,서울,울산,1,1
11월 10일 (일),16:30,제주,광주,0,0
11월 10일 (일),16:30,전북,대구,3,1
11월 10일 (일),16:30,인천,대전,1,2
11월 23일 (토),14:00,울산,수원FC,4,2
11월 23일 (토),14:00,강원,포항,1,0
11월 23일 (토),14:00,김천,서울,1,3
11월 24일 (일),14:00,대전,제주,2,1
11월 24일 (일),14:00,대구,인천,1,3
11월 24일 (일),14:00,광주,전북,1,1
11월 28일 (목),19:00,충남아산,대구,4,3
12월 1일 (일),14:00,대구,충남아산,3,1
12월 1일 (일),16:00,서울E,전북,1,2
